"lat","long","change"
2.066667,33.833333,-0.766649021
1.866667,32.7,-0.764090584
1.816667,32.7,-0.764090584
1.85,32.733333,-0.764090584
1.981916,32.253379,-0.763581331
1.940407,32.2219,-0.763581331
3.160749,32.363427,-0.761699478
1.574612,32.337365,-0.76149991
3.096911,31.349958,-0.760186688
2.461802,31.362623,-0.755916255
2.458432,31.376679,-0.755916255
2.448511,31.387719,-0.755916255
2.966667,33.45,-0.754564865
1.981153,32.36765,-0.753450999
2.359112,31.271624,-0.75131789
2.351336,31.24855,-0.75131789
2.316892,31.269469,-0.75131789
2.328048,31.233913,-0.75131789
2.31277,31.235245,-0.75131789
2.312186,31.287171,-0.75131789
2.319339,31.249119,-0.75131789
2.330513,31.266574,-0.75131789
2.340297,31.271983,-0.75131789
2.317701,31.276638,-0.75131789
1.890237,31.711134,-0.747086498
1.316667,32.833333,-0.746222023
1.3,32.85,-0.746222023
1.283333,31.966667,-0.74226073
3.274046,31.501456,-0.74004221
1.45,32.333333,-0.733751094
1.4,32.35,-0.733751094
1.433333,32.35,-0.733751094
2.83646,32.081236,-0.733158669
2.116667,33.766667,-0.732118235
2.116667,33.75,-0.732118235
2.6856542,33.5012949,-0.729141045
1.3,31.816667,-0.728616391
1.316667,31.783333,-0.728616391
1.3,32.083333,-0.727298083
-0.838056,30.941111,-0.725832361
1.3,32.316667,-0.72352901
1.3,32.283333,-0.72352901
2.783333,33.183333,-0.723010338
1.9,34.633333,-0.713801231
0.916667,30.533333,-0.711130764
1.418333,32.943056,-0.708807391
1.4,32.966667,-0.708807391
1.4,32.933333,-0.708807391
2.083333,33.45,-0.70794732
2.066667,33.466667,-0.70794732
2.1,33.466667,-0.70794732
2.1,33.433333,-0.70794732
2.116667,33.45,-0.70794732
-0.566667,29.716667,-0.70568907
1.799321,31.700224,-0.705326409
1.796049,31.684263,-0.705326409
1.807993,31.7075949,-0.705326409
0.066667,31.866667,-0.704344211
0.116667,31.833333,-0.704344211
1.383333,32.166667,-0.7011779
2.808406,33.1113159,-0.700612544
3.6150721,32.6513643,-0.700574029
2.234691,32.387832,-0.698565843
1.683693,32.251686,-0.696689231
1.646403,32.246403,-0.696689231
1.683333,32.233333,-0.696689231
2.15,33.566667,-0.696543252
2.172778,33.582778,-0.696543252
1.783333,34.133333,-0.694036347
-0.283333,32.133333,-0.691514627
0.166667,32.816667,-0.688528531
0.166667,32.833333,-0.688528531
0.15,32.816667,-0.688528531
2.231389,33.567222,-0.687690166
2.183333,33.55,-0.687690166
-0.528333,31.655278,-0.687452838
-0.516667,31.683333,-0.687452838
-0.516667,31.666667,-0.687452838
1.685887,31.835303,-0.68460096
2.354967,31.421731,-0.68381931
-0.1383417,29.8615953,-0.682530696
-0.144469,29.8846034,-0.682530696
1.595241,31.659201,-0.681458444
1.606249,31.707093,-0.681458444
1.585791,31.651094,-0.681458444
1.624059,31.686946,-0.681458444
