"DHSID","year","lat","long","base","base_w_elec","no_elec_no_app","elec_no_app","n"
"TZ201500000347",2015,-3.607152,33.74943,-0.886787041967755,-1.08177271348832,-0.627692109644036,-0.862033258467846,22
"TZ201500000348",2015,-3.75021,33.7787,-1.60169139602562,-1.73362590387088,-1.46279242458486,-1.61024122626303,21
"TZ201500000349",2015,-3.742628,32.996122,-0.580064269364792,-0.796251524179023,-0.194590400560948,-0.459615164409835,22
"TZ201500000350",2015,-3.396045,32.943685,-0.804252904734556,-1.00162354542994,-0.472234087008767,-0.710771092225786,21
"TZ201500000351",2015,-3.806244,33.326668,-1.43245797150014,-1.57875480892236,-1.23892029860512,-1.40958730281092,22
"TZ201500000352",2015,-3.509063,33.125935,-0.643139265472546,-0.853588713958151,-0.273300478457653,-0.530185593213916,21
"TZ201500000353",2015,-3.240659,32.480338,1.07798617605488,1.22714358715053,1.47413050008135,1.59423123841012,19
"TZ201500000354",2015,-3.358258,32.423788,-1.02714496745894,-1.20540873355581,-0.722171589489759,-0.941444334059253,22
"TZ201500000355",2015,-3.657231,32.616021,-1.27331914445327,-1.4332558795971,-1.04005093550509,-1.23046467129711,22
"TZ201500000356",2015,-4.046877,32.644121,-0.264115892328535,-0.510932247612628,0.198579958746138,-0.110552972236549,22
"TZ201500000357",2015,-4.011328,32.376701,-0.557168954787209,-0.775089081186627,-0.165106711610111,-0.433258177182305,20
"TZ201500000358",2015,-3.963731,32.065757,-0.990340714553539,-1.17018089486268,-0.71456626848928,-0.925283148732178,21
"TZ201500000359",2015,-4.177767,32.037323,-1.19190409217291,-1.35885440828899,-0.958264776532249,-1.15354737436827,19
"TZ201500000360",2015,-3.817051,32.57825,1.77637441226254,1.97132641573791,1.92561666674957,2.11407838063335,22
"TZ201500000361",2015,-3.874629,32.696922,0.396395859056464,0.105479919350712,0.882548423236484,0.524382376641859,21
"TZ201500000362",2015,-3.837532,32.618106,2.3143216032391,2.60668553918107,2.1589835715908,2.4764317498703,20
"TZ201500000363",2015,-3.879879,32.437191,-0.164762860663209,-0.417043183486649,0.325460236693414,0.00780855540411785,21
"TZ201500000364",2015,-1.360759,31.131786,-0.111502093846283,-0.21140119342565,0.228493261189036,0.0803947992036178,21
"TZ201500000365",2015,-1.8069,30.9898,-1.01619599912628,-1.19880121750264,-0.72352335336506,-0.946070908133168,22
"TZ201500000366",2015,-1.506548,31.0734,-0.388563627059817,-0.583885215803761,0.0401630777334056,-0.207819304268193,22
"TZ201500000367",2015,-1.452448,31.786564,-0.100633849903032,-0.14139038763358,0.0489775979088964,-0.0188087168101447,20
"TZ201500000368",2015,-1.480893,31.414392,0.0819968537965581,-0.19895845044818,0.484549444515483,0.139940802299882,21
"TZ201500000369",2015,-2.124636,31.759978,-0.887660884646861,-1.0311593639852,-0.703321717334112,-0.87388307403636,19
"TZ201500000370",2015,-2.031589,31.571575,-0.663200846857903,-0.781484624294998,-0.347704184743391,-0.507525788412708,18
"TZ201500000371",2015,-2.022182,31.51893,-1.63730844606479,-1.72293334233046,-1.51666509560926,-1.61040214421487,20
